Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup
2008,1,1,31,4,1/30/04,YV,20378,YV,N514MJ,7310,13230,1323001,32070,MDT,"Harrisburg, PA",PA,42,Pennsylvania,23,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1848,,,,,,1800-1859,,,,,2002,,,,,,2000-2059,1,C,0,134,,,1,594,3
2008,1,1,31,4,1/30/04,YV,20378,YV,N939LR,2608,13244,1324401,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,11057,1105702,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1429,1429,0,0,0,0,1400-1459,27,1456,1711,9,1703,1720,17,17,1,1,1700-1759,0,,0,94,111,75,1,512,3
2008,1,1,31,4,1/30/04,YV,20378,YV,N920FJ,2652,13244,1324401,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,11057,1105702,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,930,920,-10,0,0,-1,0900-0959,15,935,1147,23,1204,1210,6,6,0,0,1200-1259,0,,0,94,110,72,1,512,3
2008,1,1,31,4,1/30/04,YV,20378,YV,N905FJ,2668,13244,1324401,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,11057,1105702,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,635,740,65,65,1,4,0600-0659,8,748,1000,25,912,1025,73,73,1,4,0900-0959,0,,0,97,105,72,1,512,3
2008,1,1,31,4,1/30/04,YV,20378,YV,N923FJ,2779,13244,1324401,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,740,808,28,28,1,1,0700-0759,8,816,1017,8,1015,1025,10,10,0,0,1000-1059,0,,0,215,197,181,1,1263,6
2008,1,1,31,4,1/30/04,YV,20378,YV,N919FJ,2827,13244,1324401,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,1426,1426,0,0,0,0,1400-1459,28,1454,1656,5,1657,1701,4,4,0,0,1600-1659,0,,0,211,215,182,1,1263,6
2008,1,1,31,4,1/30/04,YV,20378,YV,N17275,2865,13264,1326402,33264,MFR,"Medford, OR",OR,41,Oregon,92,12889,1288902,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,2030,2025,-5,0,0,-1,2000-2059,10,2035,2156,6,2215,2202,-13,0,0,-1,2200-2259,0,,0,105,97,81,1,599,3
2008,1,1,31,4,1/30/04,YV,20378,YV,N17358,2841,13264,1326402,33264,MFR,"Medford, OR",OR,41,Oregon,92,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,550,550,0,0,0,0,0001-0559,9,559,838,19,909,857,-12,0,0,-1,0900-0959,0,,0,139,127,99,1,854,4
2008,1,1,31,4,1/30/04,YV,20378,YV,N502MJ,7237,13296,1329603,30721,MHT,"Manchester, NH",NH,33,New Hampshire,14,12264,1226401,30852,IAD,"Washington, DC",VA,51,Virginia,38,1208,1159,-9,0,0,-1,1200-1259,9,1208,1331,17,1359,1348,-11,0,0,-1,1300-1359,0,,0,111,109,83,1,418,2
2008,1,1,31,4,1/30/04,YV,20378,YV,N505MJ,7315,13296,1329603,30721,MHT,"Manchester, NH",NH,33,New Hampshire,14,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1102,1048,-14,0,0,-1,1100-1159,16,1104,1246,7,1242,1253,11,11,0,0,1200-1259,0,,0,160,185,162,1,843,4
